Antibody	Hu-mAb
Concizumab VL	0.8740000000000001
Gevokizumab VH	0.4
Gevokizumab VL	0.524
Lebrikizumab VH	0.7
Lebrikizumab VL	0.61
Clivatuzumab VH	0.515
Clivatuzumab VL	0.82
Obexelimab VH	0.275
Obexelimab VL	0.53
Talacotuzumab VH	0.815
Talacotuzumab VL	0.935
Vatelizumab VH	0.595
Vatelizumab VL	0.268
Erenumab VH	1.0
Erenumab VL	1.0
Tezepelumab VH	1.0
Tezepelumab VL	1.0
Tralokinumab VH	1.0
Tralokinumab VL	1.0
Berlimatoxumab VH	0.85
Berlimatoxumab VL	0.993
Coltuximab VH	0.34
Coltuximab VL	0.135
Ficlatuzumab VH	0.73
Ficlatuzumab VL	0.51
Ocaratuzumab VH	0.805
Ocaratuzumab VL	0.91
Ozanezumab VH	0.63
Ozanezumab VL	0.586
Temelimab VH	0.75
Temelimab VL	0.722
Veltuzumab VH	0.415
Veltuzumab VL	0.6990000000000001
Navicixizumab VH	0.68
Navicixizumab VL	0.58
Palivizumab VH	0.885
Palivizumab VL	0.8759999999999999
Reslizumab VH	0.76
Reslizumab VL	0.7909999999999999
Naptumomab VH	0.005
Naptumomab VL	0.095
Xentuzumab VH	0.98
Xentuzumab VL	0.968
Andecaliximab VH	0.115
Andecaliximab VL	0.735
Ibalizumab VH	0.25
Ibalizumab VL	0.755
Ublituximab VH	0.0
Ublituximab VL	0.005
Zolbetuximab VH	0.0
Zolbetuximab VL	0.0
Fontolizumab VH	0.405
Fontolizumab VL	0.932
Futuximab VH	0.0
Futuximab VL	0.075
Labetuzumab VH	0.605
Labetuzumab VL	0.8640000000000001
Modotuximab VH	0.0
Modotuximab VL	0.0
Tomuzotuximab VH	0.0
Tomuzotuximab VL	0.005
Tigatuzumab VH	0.85
Tigatuzumab VL	0.8420000000000001
Gremubamab VH	1.0
Gremubamab VL	1.0
Inclacumab VH	1.0
Inclacumab VL	1.0
Ponezumab VH	1.0
Ponezumab VL	0.9620000000000001
Setrusumab VH	1.0
Setrusumab VL	0.99
Tremelimumab VH	1.0
Tremelimumab VL	0.9990000000000001
Rovalpituzumab VH	0.975
Rovalpituzumab VL	0.98
Fulranumab VH	0.985
Fulranumab VL	1.0
Guselkumab VH	1.0
Guselkumab VL	1.0
Galcanezumab VH	0.945
Galcanezumab VL	0.741
Inotuzumab VH	0.91
Inotuzumab VL	0.6970000000000001
Netakimab VH	0.98
Netakimab VL	1.0
Ocrelizumab VH	0.78
Ocrelizumab VL	0.862
Risankizumab VH	0.77
Risankizumab VL	0.6759999999999999
Romosozumab VH	0.88
Romosozumab VL	0.696
Sarilumab VH	0.995
Sarilumab VL	0.9990000000000001
Tildrakizumab VH	0.9
Tildrakizumab VL	0.522
Toripalimab VH	0.86
Toripalimab VL	0.682
Ravulizumab VH	0.975
Ravulizumab VL	0.893
Racotumomab VH	0.0
Racotumomab VL	0.0
Zolimomab VH	0.0
Zolimomab VL	0.005
Aducanumab VH	1.0
Aducanumab VL	1.0
Anifrolumab VH	1.0
Anifrolumab VL	1.0
Bococizumab VH	0.87
Bococizumab VL	0.9009999999999999
Bimekizumab VH	0.8
Bimekizumab VL	0.955
Birtamimab VH	0.655
Birtamimab VL	0.71
Brazikumab VH	1.0
Brazikumab VL	1.0
Clazakizumab VH	0.995
Clazakizumab VL	0.9109999999999999
Crenezumab VH	0.865
Crenezumab VL	0.826
Depatuxizumab VH	0.65
Depatuxizumab VL	0.5770000000000001
Etrolizumab VH	0.795
Etrolizumab VL	0.73
Ganitumab VH	1.0
Ganitumab VL	0.998
Glembatumumab VH	1.0
Glembatumumab VL	1.0
Ligelizumab VH	0.79
Ligelizumab VL	0.93
Motavizumab VH	0.905
Motavizumab VL	0.8490000000000001
Nirsevimab VH	1.0
Nirsevimab VL	1.0
Olokizumab VH	0.93
Olokizumab VL	0.721
Onartuzumab VH	0.725
Onartuzumab VL	0.73
Pamrevlumab VH	0.995
Pamrevlumab VL	1.0
Roledumab VH	0.985
Roledumab VL	0.9990000000000001
Sirukumab VH	0.925
Sirukumab VL	0.92
Solanezumab VH	0.855
Solanezumab VL	0.888
Suptavumab VH	1.0
Suptavumab VL	1.0
Sutimlimab VH	0.93
Sutimlimab VL	0.58
Tabalumab VH	1.0
Tabalumab VL	1.0
Tafasitamab VH	0.275
Tafasitamab VL	0.53
Ticilimumab VH	1.0
Ticilimumab VL	0.9990000000000001
Abrilumab VH	1.0
Abrilumab VL	0.996
Amatuximab VH	0.005
Amatuximab VL	0.034
Bleselumab VH	1.0
Bleselumab VL	1.0
Cendakimab VH	0.615
Cendakimab VL	0.5760000000000001
Cinpanemab VH	0.98
Cinpanemab VL	1.0
Conatumumab VH	1.0
Conatumumab VL	1.0
Dacetuzumab VH	0.81
Dacetuzumab VL	0.759
Dalotuzumab VH	0.99
Dalotuzumab VL	0.75
Dapirolizumab VH	0.715
Dapirolizumab VL	0.882
Disitamab VH	0.735
Disitamab VL	0.862
Dusigitumab VH	1.0
Dusigitumab VL	1.0
Eldelumab VH	1.0
Eldelumab VL	1.0
Emibetuzumab VH	0.945
Emibetuzumab VL	0.898
Enokizumab VH	0.84
Enokizumab VL	0.9359999999999999
Fletikumab VH	0.995
Fletikumab VL	1.0
Frovocimab VH	0.945
Frovocimab VL	0.884
Galiximab VH	0.985
Galiximab VL	0.31
Gancotamab VH	0.995
Gancotamab VL	1.0
Gatipotuzumab VH	0.74
Gatipotuzumab VL	0.608
Gedivumab VH	1.0
Gedivumab VL	1.0
Gosuranemab VH	0.615
Gosuranemab VL	0.706
Icrucumab VH	1.0
Icrucumab VL	1.0
Imalumab VH	1.0
Imalumab VL	1.0
Indusatumab VH	1.0
Indusatumab VL	1.0
Etaracizumab VH	0.94
Etaracizumab VL	0.95
Iscalimab VH	0.995
Iscalimab VL	1.0
Levilimab VH	0.99
Levilimab VL	0.8
Lifastuzumab VH	0.945
Lifastuzumab VL	0.725
Lintuzumab VH	0.61
Lintuzumab VL	0.8859999999999999
Loncastuximab VH	0.34
Loncastuximab VL	0.085
Lorvotuzumab VH	0.985
Lorvotuzumab VL	0.924
Lutikizumab VH	0.885
Lutikizumab VL	0.637
Mavrilimumab VH	1.0
Mavrilimumab VL	1.0
Namilumab VH	1.0
Namilumab VL	1.0
Ontuxizumab VH	0.405
Ontuxizumab VL	0.8959999999999999
Opicinumab VH	1.0
Opicinumab VL	1.0
Otlertuzumab VH	0.815
Otlertuzumab VL	0.98
Parsatuzumab VH	0.815
Parsatuzumab VL	0.8190000000000001
Pateclizumab VH	0.69
Pateclizumab VL	0.9620000000000001
Pinatuzumab VH	0.86
Pinatuzumab VL	0.741
Prasinezumab VH	0.875
Prasinezumab VL	0.645
Prezalumab VH	1.0
Prezalumab VL	0.998
Refanezumab VH	0.88
Refanezumab VL	1.0
Robatumumab VH	1.0
Robatumumab VL	0.93
Sifalimumab VH	1.0
Sifalimumab VL	1.0
Suvratoxumab VH	1.0
Suvratoxumab VL	1.0
Tarextumab VH	1.0
Tarextumab VL	0.98
Tovetumab VH	1.0
Tovetumab VL	1.0
Mogamulizumab VH	0.76
Mogamulizumab VL	0.792
Varlilumab VH	1.0
Varlilumab VL	1.0
Utomilumab VH	1.0
Utomilumab VL	0.995
Domagrozumab VH	0.97
Domagrozumab VL	0.7040000000000001
Gantenerumab VH	0.995
Gantenerumab VL	0.995
Lanadelumab VH	0.995
Lanadelumab VL	1.0
Itolizumab VH	0.07
Itolizumab VL	0.256
Fremanezumab VH	0.875
Fremanezumab VL	0.98
Evolocumab VH	0.96
Evolocumab VL	0.91
Enfortumab VH	1.0
Enfortumab VL	1.0
Emicizumab VH	0.865
Emicizumab VL	0.872
Emapalumab VH	1.0
Emapalumab VL	1.0
Efalizumab VH	0.76
Efalizumab VL	0.494
Dupilumab VH	0.995
Dupilumab VL	1.0
Crizanlizumab VH	0.86
Crizanlizumab VL	0.875
Cemiplimab VH	1.0
Cemiplimab VL	0.9940000000000001
Burosumab VH	1.0
Burosumab VL	0.996
Brodalumab VH	1.0
Brodalumab VL	1.0
Bezlotoxumab VH	1.0
Bezlotoxumab VL	1.0
Benralizumab VH	0.61
Benralizumab VL	0.981
Belimumab VH	0.965
Belimumab VL	1.0
Alirocumab VH	1.0
Alirocumab VL	1.0
Afutuzumab VH	0.83
Afutuzumab VL	0.562
Obiltoxaximab VH	0.65
Obiltoxaximab VL	0.44299999999999995
Mepolizumab VH	0.555
Mepolizumab VL	0.97
Actoxumab VH	1.0
Actoxumab VL	1.0
Tosatoxumab VH	1.0
Tosatoxumab VL	1.0
Derlotuximab VH	0.0
Derlotuximab VL	0.0
Edrecolomab VH	0.0
Edrecolomab VL	0.005
