Subject	Bernat_2019:A007	Bhiman_2015:CAP256	Doria-Rose_2015:CAP256	Gidoni_2019:S1	Gidoni_2019:S10	Gidoni_2019:S100	Gidoni_2019:S11	Gidoni_2019:S12	Gidoni_2019:S13	Gidoni_2019:S14	Gidoni_2019:S15	Gidoni_2019:S16	Gidoni_2019:S17	Gidoni_2019:S18	Gidoni_2019:S19	Gidoni_2019:S2	Gidoni_2019:S20	Gidoni_2019:S21	Gidoni_2019:S22	Gidoni_2019:S23	Gidoni_2019:S24	Gidoni_2019:S25	Gidoni_2019:S26	Gidoni_2019:S27	Gidoni_2019:S28	Gidoni_2019:S29	Gidoni_2019:S3	Gidoni_2019:S30	Gidoni_2019:S31	Gidoni_2019:S32	Gidoni_2019:S33	Gidoni_2019:S34	Gidoni_2019:S35	Gidoni_2019:S36	Gidoni_2019:S37	Gidoni_2019:S38	Gidoni_2019:S39	Gidoni_2019:S4	Gidoni_2019:S40	Gidoni_2019:S41	Gidoni_2019:S42	Gidoni_2019:S43	Gidoni_2019:S44	Gidoni_2019:S45	Gidoni_2019:S46	Gidoni_2019:S47	Gidoni_2019:S48	Gidoni_2019:S49	Gidoni_2019:S5	Gidoni_2019:S50	Gidoni_2019:S51	Gidoni_2019:S52	Gidoni_2019:S53	Gidoni_2019:S54	Gidoni_2019:S55	Gidoni_2019:S56	Gidoni_2019:S57	Gidoni_2019:S58	Gidoni_2019:S59	Gidoni_2019:S60	Gidoni_2019:S61	Gidoni_2019:S62	Gidoni_2019:S63	Gidoni_2019:S64	Gidoni_2019:S65	Gidoni_2019:S66	Gidoni_2019:S67	Gidoni_2019:S68	Gidoni_2019:S69	Gidoni_2019:S7	Gidoni_2019:S70	Gidoni_2019:S71	Gidoni_2019:S72	Gidoni_2019:S73	Gidoni_2019:S74	Gidoni_2019:S75	Gidoni_2019:S76	Gidoni_2019:S77	Gidoni_2019:S78	Gidoni_2019:S79	Gidoni_2019:S8	Gidoni_2019:S80	Gidoni_2019:S81	Gidoni_2019:S82	Gidoni_2019:S83	Gidoni_2019:S84	Gidoni_2019:S85	Gidoni_2019:S86	Gidoni_2019:S87	Gidoni_2019:S88	Gidoni_2019:S89	Gidoni_2019:S9	Gidoni_2019:S90	Gidoni_2019:S91	Gidoni_2019:S92	Gidoni_2019:S93	Gidoni_2019:S94	Gidoni_2019:S95	Gidoni_2019:S96	Gidoni_2019:S97	Gidoni_2019:S99	Gupta_2017:Fv_volunteer	Gupta_2017:GMC_volunteer	Gupta_2017:IB_volunteer	Huang_2016:Donor-Z258	Johnson_2018:CAP256	Soto_2016:IAVI84	Soto_2016:N152	Vander_Heiden_2017:AR02	Vander_Heiden_2017:AR03	Vander_Heiden_2017:AR04	Vander_Heiden_2017:AR05	Vander_Heiden_2017:HD07	Vander_Heiden_2017:HD09	Vander_Heiden_2017:HD10	Vander_Heiden_2017:HD13	Vander_Heiden_2017:MK02	Vander_Heiden_2017:MK03	Vander_Heiden_2017:MK04	Vander_Heiden_2017:MK05	Vander_Heiden_2017:MK08	Waltari_2018:AD341	Waltari_2018:AD344	Waltari_2018:BD1	Waltari_2018:BD10	Waltari_2018:BD11	Waltari_2018:BD12	Waltari_2018:BD13	Waltari_2018:BD14	Waltari_2018:BD2	Waltari_2018:BD2-repeat1	Waltari_2018:BD4	Waltari_2018:BD5	Waltari_2018:BD6	Waltari_2018:BD7	Waltari_2018:BD8	Waltari_2018:BD9	Waltari_2018:CB1	Waltari_2018:CB2	Waltari_2018:CB3	Waltari_2018:CB4	Waltari_2018:CB5	Waltari_2018:CB5-repeat1	Waltari_2018:MT1214	Waltari_2018:MT8004	Wu_2011:Donor-45	Wu_2015:Donor-45	Zhou_2013:Donor-IAVI23	Zhou_2013:Donor-IAVI57	Zhou_2013:Donor-IAVI74	Zhou_2013:Donor-NIAID45	Zhou_2013:Donor-RU3	Zhu_2012:Donor-39	Zhu_2013:Donor-C38
Gidoni_2019:S15	214888	46179	155830	136955	207706	191971	189042	199846	207633	182318	549090	166483	185790	174014	187726	146063	180351	166324	211638	203034	196473	186036	175854	196858	155497	210290	137790	185765	181747	190517	179058	227068	169055	221746	188780	177185	180349	146753	181859	190825	187299	180179	171913	178657	174515	177456	179700	159662	207147	188012	197245	193528	166909	207637	187330	203988	195350	185657	199775	188848	181373	173120	185867	199660	198247	168773	195808	183986	176049	163553	173968	168060	189423	185548	182388	197858	201837	190442	179673	185886	186179	181099	168411	183242	197684	204946	180413	207519	186371	187606	207760	189779	186126	193273	127772	194990	173243	215808	147570	178739	163855	393065	414628	414461	236971	33660	64373	40907	256527	220456	242577	246192	272846	291404	302626	273610	224290	271988	222547	287550	245016	339530	350245	323798	308086	302134	305443	303733	347431	337849	357320	294468	290401	348649	306796	342834	293749	345367	358241	293092	252894	357708	252720	339618	364779	25092	98164	65677	51269	95031	34582	70986	47076	146981
Gidoni_2019:S16	169540	37207	126122	118682	171959	160955	160138	167239	171803	151489	166483	371840	156066	148391	157092	124251	152926	141777	175157	169643	164387	156227	147881	164625	133521	173692	118016	157415	155321	161638	148587	181337	145376	179710	157738	151617	153584	128365	155807	159719	155581	153574	144005	151491	142846	149631	152294	137814	172445	159725	165487	162279	143510	172826	157797	169964	163548	155538	167229	160278	155678	149064	157409	166311	164377	146274	164747	153247	151628	141491	149778	144606	160972	154948	155390	164670	168906	161715	151168	154557	160373	152738	143983	155767	163817	171510	152202	171495	156393	154650	173168	160517	154215	161560	110864	162696	147931	173157	125190	149976	139123	280461	295024	294348	181836	26381	53249	30975	194546	171714	189247	191831	204931	217886	222356	208182	173384	205675	176332	215729	185870	244569	252301	240655	223670	222206	224320	224095	251954	246781	258825	215972	218405	253696	225968	249592	212936	252120	263399	220194	194378	259602	194540	244391	261737	23571	83493	55524	42679	82490	32769	62241	43089	119654
Gidoni_2019:S17	193437	38940	139899	127257	194306	180672	176969	186750	193075	169784	185790	156066	471010	164405	173523	133309	166981	158271	200351	189071	182288	172772	165366	182076	146480	196510	126595	175014	171033	180596	167185	207073	160339	208219	175074	165191	169802	137764	171592	178386	174899	169088	160541	168842	157731	167115	167360	151550	193698	176643	183158	179332	156308	194031	176713	190635	181319	173581	186161	176764	171053	162371	176309	184008	184619	162722	181760	169739	167539	157564	164162	159444	178360	169405	171321	184641	186571	179632	167863	172217	180316	167127	153792	170550	182105	195132	167210	192710	172742	172288	195675	178076	173737	182562	121495	180612	164692	197822	138013	167763	152679	339232	358231	357676	232866	31192	62037	29995	226762	199221	215516	220561	238633	255244	263208	242603	199379	241300	198861	253819	212984	288090	303215	284709	271620	264614	267038	266489	303054	301257	316621	255057	252047	303823	268988	302787	255835	306718	315932	263720	228516	313804	227863	289749	315767	25687	99704	62542	48003	91618	35631	70649	48268	134475
Gidoni_2019:S18	178220	37713	130274	123679	181393	171219	168495	177540	181199	160340	174014	148391	164405	404171	165276	127460	160466	149543	185741	178500	172859	162431	157413	172098	139050	184043	122930	166410	164059	170475	158366	194286	154060	192579	165658	156857	162075	133066	164810	168698	164399	161556	150245	158714	150412	157250	159023	144169	182396	167422	173628	169777	149021	180730	166292	179840	172696	164237	176188	168856	163923	155468	165255	174705	174324	152539	171983	160870	158670	148363	156551	151105	167729	162422	162225	174745	178627	170610	157333	163086	167573	160136	148367	161369	172462	180096	159673	179744	163750	162289	183781	168112	164002	170644	115523	170376	155159	184928	130789	156953	145848	301167	318781	317613	205158	27770	57810	30657	205353	180314	199055	201028	217456	233651	238958	221632	182371	221521	186312	230030	196156	260199	268287	254078	242660	236729	238062	237877	268602	267340	279563	229035	229805	272324	242449	269549	230712	272164	285039	236781	206137	282261	208538	260041	280837	24129	89273	58909	46196	85285	33555	66072	44416	125502
Gidoni_2019:S19	199306	46104	149580	134980	200072	181478	181667	194579	199311	168373	187726	157092	173523	165276	458494	143418	174505	156102	202182	195852	187600	178726	164423	190221	145757	199329	135296	179995	178409	182208	165347	205688	162679	207413	180971	172873	173725	148631	177152	178285	173531	173531	158766	170617	162216	167636	174013	155351	199322	186043	194546	188899	164100	200383	175939	198667	186611	177557	190390	183734	178561	172021	179461	193442	183757	166395	190432	173228	174439	160773	170479	163667	186327	177011	182146	189090	195099	185594	170747	177532	181216	176101	165391	179864	190281	200815	172376	198096	181834	176041	196487	186275	174386	181800	120154	186285	167282	198382	135147	164288	153325	343407	361792	362775	203295	36120	59145	36811	229735	202437	224844	228934	243005	260697	267863	247589	200287	240465	204271	256914	216290	300880	310167	292451	264863	262246	268067	262699	304626	294091	309506	261007	265177	305247	270422	301956	253654	298909	317737	260010	226375	306167	223175	301309	321140	24423	90789	63529	47870	92351	34747	68406	44672	141448
Gidoni_2019:S2	167436	48632	147416	136279	159467	139207	145973	154234	157035	129765	146063	124251	133309	127460	143418	330656	138377	118992	159553	157507	148197	144109	129984	153933	114776	155278	137634	141284	143244	143538	130249	154801	128915	155594	144138	141711	137937	149273	141772	138506	133588	137937	125121	137172	132464	129688	139793	123354	157446	152793	155525	154842	134674	162519	136966	160483	152533	143273	150792	150901	144841	143281	140927	154976	138941	136735	152859	141395	142926	133979	139849	131869	152404	144922	148317	148653	155715	151026	139585	139239	143515	140149	139402	146230	154089	160920	138284	157437	150871	139181	151897	151439	134742	141742	96591	154795	136102	147410	104597	123832	118308	266210	274355	277562	143039	28396	56093	34454	190696	167120	195202	196782	196216	209270	210954	197959	166705	189959	163996	206078	176196	240424	245367	236019	216734	207912	214460	207637	244541	228493	237202	211722	227592	244091	220642	241167	206339	222021	239745	198841	178330	226691	172762	239749	255306	24791	84480	65541	47320	93711	36474	68310	44785	141745
Gidoni_2019:S20	191435	44121	145188	131285	191958	174182	175367	186429	190580	163148	180351	152926	166981	160466	174505	138377	436310	150784	193680	188413	180442	171243	159265	182222	140778	190593	130561	172238	172185	175693	160084	197717	158078	196447	173471	166275	167795	143810	171346	171147	167025	167909	152527	165317	155840	160932	167603	149797	190607	177542	185675	181239	156875	191488	169672	190320	180091	170807	182984	176714	172909	166094	171533	185083	176513	160581	183090	168240	168373	155729	165214	157882	177966	169751	173426	182351	187800	178220	164614	169577	174138	168360	159243	172872	181143	191295	165729	189552	174501	168754	188874	178611	168062	174202	116384	179898	161322	189061	132124	158828	147998	325178	342131	342387	197877	33611	58930	37133	218242	191390	214500	217980	230249	248559	253207	235333	190842	230067	195128	244099	207624	284477	291484	276645	252815	250269	254190	250520	289369	279199	294016	247546	252449	290489	257469	286461	241214	282858	299447	246670	214634	291175	213993	283891	304194	24262	90325	62578	47307	90837	34817	68244	44892	137686
Gidoni_2019:S21	166610	34267	120781	114863	172094	162059	157761	165196	169887	152465	166324	141777	158271	149543	156102	118992	150784	381539	176352	165977	162257	152833	148213	160383	133910	173798	114885	155992	152656	159714	150003	183777	144504	182143	155686	147806	153384	123880	154037	160428	156165	151847	144437	150260	141933	149339	149250	136396	171179	155488	161837	159072	139987	172027	158154	168286	161850	154284	165552	157222	153037	144805	156518	163659	165590	145332	161290	150862	147732	140735	146813	142844	156049	152275	151364	164702	166316	159911	150113	154682	159858	150452	137967	151640	160989	170322	150264	170101	153202	154070	172890	159030	155646	161305	111426	160212	147480	177536	127527	152094	139860	283491	300117	298080	194882	24974	55192	28482	196787	174136	186356	189623	207255	219835	226554	208789	175721	208766	175867	216577	186886	245055	253921	240483	231281	226098	227520	225882	253966	254696	266986	216973	215185	255192	228866	254970	219502	261414	267564	227007	197409	267795	198545	245166	264893	22470	80762	55274	43434	79987	30458	60521	40618	114709
Gidoni_2019:S22	230134	48657	171989	149479	229236	205762	205437	220124	226213	190535	211638	175157	200351	185741	202182	159553	193680	176352	583301	225090	213245	199473	186885	215330	160869	228040	149132	202576	200337	207802	188315	237339	183511	238226	202986	193572	195310	166445	200104	202680	197717	194230	177899	193764	180320	186600	194427	170672	227223	211864	218673	213845	181073	229608	199032	226352	213014	200212	216867	209104	202754	192174	201493	218004	209021	189954	214979	197486	197363	182656	190888	181351	209956	197495	202698	212846	220126	210106	193569	197894	208785	194869	182558	200174	213518	230836	193368	225944	203400	196082	224685	212514	196643	206476	132365	211421	189350	224602	150637	185681	169456	417084	441889	443313	273091	37558	73052	37916	266952	230385	260825	266247	280724	304994	314190	289073	229551	284636	233155	303547	248426	352831	366222	348499	316531	310565	315553	311176	367295	355321	376565	301375	313456	367344	317858	363024	299410	361020	383817	309351	261162	372646	261655	350885	383969	28527	118234	75933	56646	107258	41209	84968	54452	164989
Gidoni_2019:S23	218423	46602	164974	147082	218827	196749	200446	215087	218843	182359	203034	169643	189071	178500	195852	157507	188413	165977	225090	546952	206310	194157	179985	209229	154218	219679	145122	197626	196024	202302	180374	225859	179377	226556	196102	190938	189855	165604	196359	194859	188523	190256	170306	188169	173012	178641	190237	164762	218974	208451	215378	210134	176899	221487	191414	221410	206994	194386	210071	205902	199145	191149	193580	213648	199787	182947	212214	191291	195761	176933	186654	173613	207242	191395	200858	205155	213449	202493	183862	189626	201327	189354	179908	197019	205904	223865	186614	218046	198535	187710	216075	207551	186688	197724	126519	203937	181699	212031	144028	176866	161524	389995	412264	416746	250610	34512	69428	37358	245544	212818	248460	249720	258644	286200	290378	271556	214143	266637	222380	283488	231917	328699	339149	324074	287589	281655	288144	285285	338886	321897	340972	276127	296352	343749	294812	334927	272582	328917	356462	281639	242811	342385	244281	325824	353766	27510	117204	73479	55467	102330	40844	83075	52795	158610
Gidoni_2019:S24	206572	43919	150662	139588	207707	190446	191970	203063	208285	180199	196473	164387	182288	172859	187600	148197	180442	162257	213245	206310	493633	185892	173984	198090	151306	209576	139396	188731	185680	192314	174222	217846	173857	218686	188369	180868	181562	154154	185532	188703	182760	181932	166719	180155	168017	175141	180852	159683	208034	194859	205778	197195	171830	207994	185020	208624	200465	186279	199886	193068	188355	179152	185325	202312	193867	172520	200448	183067	182629	167589	178990	169249	194433	184212	189104	195528	203215	194216	177476	183281	190223	181071	170098	186334	196790	209165	181851	206707	188530	182235	206420	194642	182705	190353	124743	195176	174077	207069	141536	172660	158692	361682	382676	387366	230632	33298	63354	35131	235051	205726	233531	235244	250062	271109	277353	257033	207524	253141	211056	268111	223354	313432	320478	303531	276684	273162	280184	277157	318992	308798	325503	266180	274570	322100	280955	315787	263326	316985	338555	273447	237516	332198	240328	309516	332901	26200	105776	66521	52123	94285	38625	74858	48621	146709
